matrix,from_state,to_state,obs,state_name,value,to_state_name,obs_label
startprob,0,,,Win-like,0.20479350026019477,,
startprob,1,,,Random-like,0.4866309519716901,,
startprob,2,,,Go-like,0.3085755477681152,,
transmat,0,0.0,,Win-like,0.07339741188391564,Win-like,
transmat,0,1.0,,Win-like,0.20686862187557445,Random-like,
transmat,0,2.0,,Win-like,0.7197339662405099,Go-like,
transmat,1,0.0,,Random-like,0.24996731212906592,Win-like,
transmat,1,1.0,,Random-like,0.32708908815887344,Random-like,
transmat,1,2.0,,Random-like,0.42294359971206047,Go-like,
transmat,2,0.0,,Go-like,0.4905587742029127,Win-like,
transmat,2,1.0,,Go-like,0.22756338449177343,Random-like,
transmat,2,2.0,,Go-like,0.2818778413053139,Go-like,
emission,0,,0.0,Win-like,0.05,,go(0)
emission,0,,1.0,Win-like,0.95,,win(1)
emission,1,,0.0,Random-like,0.5,,go(0)
emission,1,,1.0,Random-like,0.5,,win(1)
emission,2,,0.0,Go-like,0.95,,go(0)
emission,2,,1.0,Go-like,0.05,,win(1)
