ID,Exp_Type,Exp_Date,Test_Day,Preference,Win_Side,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Abnormal,Remark
170614cage6,naïve,170729,0,0.4,L,L,L,R,R,L,R,L,R,R,R,L,R,L,R,R,R,R,L,R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170614cage6,naïve,170730,1,0.633333333,L,L,L,R,R,L,R,L,R,L,L,R,L,R,R,L,L,R,L,L,L,R,L,R,L,L,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage6,naïve,170731,2,0.7,L,L,L,R,L,R,L,R,L,L,R,R,L,L,L,R,L,L,R,L,L,L,L,L,L,R,L,R,L,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage6,naïve,170801,3,0.733333333,L,L,L,L,R,R,L,R,L,L,L,R,L,R,L,L,L,L,L,R,L,R,L,L,L,L,L,R,L,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage6,naïve,170802,4,0.7,L,L,L,L,R,L,L,R,L,L,R,L,L,R,L,R,L,L,R,L,L,L,L,R,L,R,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage7,naïve,170729,0,0.45,L,R,L,R,L,R,R,L,L,R,L,L,R,R,L,R,R,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170614cage7,naïve,170730,1,0.533333333,L,L,R,L,R,L,R,L,R,R,R,L,R,L,R,L,L,L,R,R,L,R,L,R,L,R,L,L,R,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage7,naïve,170731,2,0.666666667,L,R,R,L,L,L,R,L,L,R,L,L,R,L,R,L,L,L,L,R,L,L,L,L,L,R,L,R,R,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage7,naïve,170801,3,0.666666667,L,R,L,L,R,L,R,L,R,L,R,L,R,L,L,R,L,R,L,L,L,R,L,L,L,R,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,
170614cage7,naïve,170802,4,0.7,L,L,L,R,L,L,L,L,R,L,R,R,L,L,R,L,L,L,R,L,L,L,L,R,L,L,R,L,L,L,R,,,,,,,,,,,,,,,,,,,,,,
170614cage5,naïve,170729,0,0.35,L,L,R,L,R,L,R,L,R,R,L,R,R,L,R,R,R,L,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
