matrix,from_state,to_state,obs,state_name,value,to_state_name,obs_label
startprob,0,,,Win-like,0.9042580764138403,,
startprob,1,,,Random-like,0.046110051647495924,,
startprob,2,,,Go-like,0.049631871938663856,,
transmat,0,0.0,,Win-like,0.40059984598258813,Win-like,
transmat,0,1.0,,Win-like,0.21302966801087128,Random-like,
transmat,0,2.0,,Win-like,0.3863704860065406,Go-like,
transmat,1,0.0,,Random-like,0.44805008538455365,Win-like,
transmat,1,1.0,,Random-like,0.31708188371257207,Random-like,
transmat,1,2.0,,Random-like,0.23486803090287428,Go-like,
transmat,2,0.0,,Go-like,0.7975309250863394,Win-like,
transmat,2,1.0,,Go-like,0.16847119418810522,Random-like,
transmat,2,2.0,,Go-like,0.03399788072555551,Go-like,
emission,0,,0.0,Win-like,0.05,,go(0)
emission,0,,1.0,Win-like,0.95,,win(1)
emission,1,,0.0,Random-like,0.5,,go(0)
emission,1,,1.0,Random-like,0.5,,win(1)
emission,2,,0.0,Go-like,0.95,,go(0)
emission,2,,1.0,Go-like,0.05,,win(1)
