animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage3 2A,0,1,1,0.24840191989092664,0.6865775722535383,0.06502050785553498
170614cage3 2A,0,2,1,0.5883756798935116,0.35971097367928934,0.05191334642719906
170614cage3 2A,0,3,0,0.02121981662035647,0.24225428860652118,0.7365258947731224
170614cage3 2A,0,4,0,0.08982594443501049,0.34291204258136726,0.5672620129836222
170614cage3 2A,0,5,0,0.013880706701213049,0.2000594949114279,0.7860597983873591
170614cage3 2A,0,6,1,0.8046800506920369,0.1790235822798941,0.01629636702806914
170614cage3 2A,0,7,0,0.0026957513173393156,0.112950970522728,0.8843532781599327
170614cage3 2A,0,8,1,0.8248124106864048,0.16124597988527076,0.013941609428324404
170614cage3 2A,0,9,0,0.0026963670725454955,0.11305417675963247,0.8842494561678221
170614cage3 2A,0,10,1,0.8049545481886067,0.1787511360478436,0.016294315763549703
170614cage3 2A,0,11,0,0.013598010960062303,0.20464298212028598,0.7817590069196516
170614cage3 2A,0,12,0,0.09279373051071023,0.34346286307350243,0.5637434064157874
170614cage3 2A,0,13,0,0.014600083719445206,0.20385038307963452,0.7815495332009202
170614cage3 2A,0,14,1,0.7815352039901388,0.19928388351285592,0.019180912497005348
170614cage3 2A,0,15,0,0.014694928811843356,0.2104124405136007,0.774892630674556
170614cage3 2A,0,16,0,0.0792583227069034,0.33651986448188265,0.5842218128112139
170614cage3 2A,0,17,0,0.06647265844930852,0.32756265077390906,0.6059646907767823
170614cage3 2A,0,18,0,0.06734388206293446,0.3285843588496455,0.6040717590874202
170614cage3 2A,0,19,0,0.07314814313647446,0.3327237922092136,0.5941280646543119
170614cage3 2A,0,20,0,0.04342124937954914,0.27020329545607663,0.6863754551643741
170614cage3 2A,1,1,1,0.9646009339394579,0.03049634496775005,0.004902721092792038
170614cage3 2A,1,2,1,0.8127258831771621,0.17674650696268132,0.010527609860156552
170614cage3 2A,1,3,0,0.0313999253800604,0.20242952021383576,0.7661705544061038
170614cage3 2A,1,4,1,0.8344730280788395,0.1552953382080476,0.010231633713112859
170614cage3 2A,1,5,1,0.7017468031482114,0.24297016274985814,0.05528303410193058
170614cage3 2A,1,6,1,0.7565859295565882,0.225103578019406,0.018310492424005776
170614cage3 2A,1,7,0,0.10782319366934684,0.46083544128380916,0.431341365046844
170614cage3 2A,1,8,0,0.11178536645760359,0.3945640273841398,0.4936506061582566
170614cage3 2A,1,9,1,0.7790278950543036,0.19934189780308303,0.021630207142613447
170614cage3 2A,1,10,1,0.8075628082458949,0.1829562053096796,0.009480986444425544
170614cage3 2A,1,11,0,0.03129340289337628,0.20308598945377812,0.7656206076528456
